"region_city","city_name","habitantes","cnae_secao","cnae_divisao","cnae_grupo","cnae_classe","cnae_subclasse","pct_cnae_secao","pct_cnae_divisao","pct_cnae_grupo","pct_cnae_classe","pct_cnae_subclasse"
"311",NORMANDIA,11290,19,35,62,84,102,0.90476190476190476190,0.40229885057471264368,0.21754385964912280702,0.12481426448736998514,0.07674943566591422122
"5585",IRATI,1930,14,33,58,83,102,0.66666666666666666667,0.37931034482758620690,0.20350877192982456140,0.12332838038632986627,0.07674943566591422122
"3175",MALHADA DOS BOIS,3682,16,33,56,77,102,0.76190476190476190476,0.37931034482758620690,0.19649122807017543860,0.11441307578008915305,0.07674943566591422122
"122",BELA VISTA DO MARANHAO,11209,16,31,55,87,102,0.76190476190476190476,0.35632183908045977011,0.19298245614035087719,0.12927191679049034175,0.07674943566591422122
"2737",CHA PRETA,7311,16,35,60,83,101,0.76190476190476190476,0.40229885057471264368,0.21052631578947368421,0.12332838038632986627,0.07599699021820917983
"2283",BRASILEIRA,8329,16,35,60,86,101,0.76190476190476190476,0.40229885057471264368,0.21052631578947368421,0.12778603268945022288,0.07599699021820917983
"188",LAJEADO NOVO,7550,18,37,63,84,101,0.85714285714285714286,0.42528735632183908046,0.22105263157894736842,0.12481426448736998514,0.07599699021820917983
"5777",TRES FORQUILHAS,2697,15,34,61,86,101,0.71428571428571428571,0.39080459770114942529,0.21403508771929824561,0.12778603268945022288,0.07599699021820917983
"2647",SANTANA DO SAO FRANCISCO,7780,17,37,59,82,101,0.80952380952380952381,0.42528735632183908046,0.20701754385964912281,0.12184249628528974740,0.07599699021820917983
"291",AMATURA,11536,16,37,66,88,101,0.76190476190476190476,0.42528735632183908046,0.23157894736842105263,0.13075780089153046062,0.07599699021820917983
"4897",NOVA MODICA,3600,17,37,59,82,101,0.80952380952380952381,0.42528735632183908046,0.20701754385964912281,0.12184249628528974740,0.07599699021820917983
"1477",MORAUJO,8724,18,39,64,87,101,0.85714285714285714286,0.44827586206896551724,0.22456140350877192982,0.12927191679049034175,0.07599699021820917983
"88",LUZINOPOLIS,3108,15,33,57,85,101,0.71428571428571428571,0.37931034482758620690,0.20000000000000000000,0.12630014858841010401,0.07599699021820917983
"104",AGUA DOCE DO MARANHAO,12571,16,34,54,82,101,0.76190476190476190476,0.39080459770114942529,0.18947368421052631579,0.12184249628528974740,0.07599699021820917983
"640",JUVENILIA,5724,17,39,61,85,101,0.80952380952380952381,0.44827586206896551724,0.21403508771929824561,0.12630014858841010401,0.07599699021820917983
"1054",AMARALINA,3812,15,30,60,84,101,0.71428571428571428571,0.34482758620689655172,0.21052631578947368421,0.12481426448736998514,0.07599699021820917983
"912",ENTRE RIOS,3203,17,34,59,84,101,0.80952380952380952381,0.39080459770114942529,0.20701754385964912281,0.12481426448736998514,0.07599699021820917983
"931",SUCUPIRA DO NORTE,10636,16,36,62,89,100,0.76190476190476190476,0.41379310344827586207,0.21754385964912280702,0.13224368499257057949,0.07524454477050413845
